Metric,Train_CO2,Train_CH4,Test_CO2,Test_CH4
MSE,0.5230693357678654,0.00022285195830649968,0.29808816649622366,0.0003626421244863488
MAE,0.40849059987430925,0.009716773899125529,0.3033006510399195,0.013149429335105793
RMSE,0.7232353253041954,0.014928226897609096,0.5459745108484678,0.019043164770760894
R-squared,0.7956915734482449,0.651538699008115,0.6540184432599028,0.48499445950104136
