Metric,Train_CO2,Train_CH4,Test_CO2,Test_CH4
MSE,0.0023593687414675576,1.2285603219578968e-06,0.13880697285376828,0.00010917218346248987
MAE,0.036150405505802924,0.0008848520293014645,0.21290505978565322,0.005343356431847464
RMSE,0.04857333364581391,0.001108404403617153,0.3725680781464889,0.010448549347277347
R-squared,0.9990782105087281,0.9980790162323436,0.8387841021540965,0.8447805702217753
