Metric,Train_CO2,Train_CH4,Test_CO2,Test_CH4
MSE,0.5207748774762546,0.00022169025291621678,0.32030091926660487,0.00037238327210079985
MAE,0.40992787956567306,0.009289544841289686,0.31758426962861885,0.013206811916878499
RMSE,0.7216473359448191,0.01488926636595023,0.5659513400166174,0.019297234830431012
R-squared,0.796587778083639,0.6533551935758248,0.6282367999517751,0.47116058678323103
