air_temperature,surface_temperature,soil_temperature,vpd,shortwave_incoming,longwave_incoming,albedo,soil_volumetric_water_content,NDVI,FSCA,co2_flux_filtered,ch4_flux_filtered,palsa,ponds,fen,date,time
-8.70742028055555,-10.24456125,-5.715886586111113,0.0755227260695452,-2.9471509694444458,230.07392,0.7541704214363751,0.0530748728593129,-0.003736,0.934208,0.0952448123827879,0.0017347172991588,0.335012195877,0.140065690796,0.5249221133269999,2019-03-27,00:00:00
-9.003567858333337,-10.344927916666668,-5.779777413888887,0.0735770427899702,-2.7257732194444424,229.761055277778,0.7541704214363751,0.0530713735702428,-0.003736,0.934208,0.1290648239529484,0.00016165494575299998,0.342504813253,0.139562279275,0.517932907472,2019-03-27,01:00:00
-9.080666786111111,-10.579098527777775,-5.8092321222222205,0.0747850543281952,-3.0079822111111088,224.46242361111112,0.7541704214363751,0.0530555964395168,-0.003736,0.934208,0.1790037629623476,0.0001757374377708999,0.351117940462,0.124904387049,0.5239776724890001,2019-03-27,01:30:00
-8.901495691666673,-10.276977447222231,-5.8488196222222175,0.077923865153598,-2.4372982277777777,234.41696583333328,0.7541704214363751,0.0530157039320675,-0.003736,0.934208,0.1490806270770644,0.000601548879157,0.350086602942,0.1193960126909999,0.5305173843670001,2019-03-27,02:00:00
-2.8846162916666653,-4.873498111111116,-5.114276442222224,0.0985118667941733,186.34089111111115,237.8036005555556,0.7541704214363751,0.0532802342918116,-0.003736,0.934208,0.0154370014366756,0.0017745222292995,0.582190494586,0.0825949816177,0.3352145237962999,2019-03-27,11:00:00
-2.16007090277778,-3.997398555555556,-5.008976607500003,0.1085140531608651,216.6961155555556,262.204777222222,0.7541704214363751,0.0532798998174476,-0.003736,0.934208,0.08284377325981,0.0016193977675829,0.601540338306,0.0650448990344,0.3334147626596,2019-03-27,11:30:00
-0.9011735697222216,-2.6345835833333355,-4.947010494444443,0.129333750820623,248.51127527777768,279.1352952777777,0.7541704214363751,0.0532796907699157,-0.003736,0.934208,0.0422453361070096,0.0016915573129895,0.611105842146,0.0576808260786999,0.3312133317753001,2019-03-27,12:00:00
0.1005919128611111,-1.5480987777777775,-4.859006075000002,0.1355885070162844,285.83887166666665,286.6924461111112,0.7541704214363751,0.0533718316623299,-0.003736,0.934208,0.1082470820031242,0.0040850476639598,0.675049488204,0.0168667805839,0.3080837312121,2019-03-27,12:30:00
-2.6936705000000014,-5.927563416666668,-4.193569095945552,0.1007872940792387,-4.082298375000003,215.3701536111111,0.7541704214363751,0.0536854010647609,-0.003736,0.934208,0.043499030553624,-0.0024475324164875,0.57232841665,0.0870537016792999,0.3406178816707,2019-03-27,17:30:00
-2.968253308333332,-6.709304333333335,-4.210842482722221,0.1045100825242152,-4.592415736111113,216.0153219444445,0.7541704214363751,0.0536816405522387,-0.003736,0.934208,0.022156200449066,0.0038130016245008,0.470188691366,0.14269526597,0.3871160426639999,2019-03-27,18:00:00
-3.701917999999999,-7.0514747777777735,-4.456095941666669,0.1141669375962615,-4.143002847222224,220.73422194444424,0.7541704214363751,0.0535807871113801,-0.003736,0.934208,0.0696024540831559,-0.0029808759587346,0.3202915256019999,0.2251703926749999,0.4545380817230002,2019-03-27,20:30:00
-1.1119916322222227,-4.063834916666666,-2.720837387777779,0.1641781198504158,-2.7740400916666657,262.61006222222227,0.7369445274039483,0.0551015550689446,-0.005636,0.93572,0.0902683474731634,0.0026753914609008002,0.300751582693,0.187488996937,0.51175942037,2019-03-28,17:30:00
-1.6847345444444444,-4.1397703888888895,-2.739854410777777,0.1433856229205135,-2.7914768305555544,267.4317455555558,0.7369445274039483,0.0551000959538572,-0.005636,0.93572,0.0797568388349695,0.0001557205702367,0.282525397817,0.211960837662,0.505513764521,2019-03-28,18:00:00
-1.798284125,-4.096593638888888,-2.777474775916666,0.1249497735957337,-2.690816261111112,268.1849066666668,0.7369445274039483,0.0550975112327615,-0.005636,0.93572,0.0806100147752483,0.0039065984214927,0.302233511193,0.176844506543,0.520921982264,2019-03-28,18:30:00
-1.6810684999999994,-3.687039611111112,-2.8257676828007354,0.1203698212945607,-2.135712694444445,278.12405611111103,0.7369445274039483,0.055099623477218,-0.005636,0.93572,0.0721711625112709,0.0050205643308131,0.304206578256,0.181849841658,0.513943580086,2019-03-28,19:00:00
-1.3856509249999984,-3.1435431944444447,-2.8978117919722246,0.1312734569596854,-1.5115417730555565,293.28546583333343,0.7369445274039483,0.0550996512753993,-0.005636,0.93572,0.0741936855346402,0.005667384819548,0.309693740647,0.1711393843739999,0.5191668749790002,2019-03-28,20:00:00
-2.1078063,-5.192737750000002,-2.6114526144444445,0.0709821371362268,-3.097160913888892,232.1685986111113,0.6677580364251405,0.0553037343702617,-0.00896,0.9373,0.0420029207728152,0.0006241655750237999,0.5153476083780001,0.1048672980969999,0.379785093525,2019-03-29,03:00:00
-2.0844622861111115,-4.6591784444444455,-2.902731470475,0.2007024539437228,392.0448586111112,204.13553666666675,0.6677580364251405,0.0553045470468491,-0.00896,0.9373,0.0651060810656035,0.0001433163197325,0.5250066465950001,0.1198996160989999,0.355093737306,2019-03-29,08:00:00
-2.4389304805555536,-4.857575638888885,-2.5758392597222217,0.1995842497466749,267.78903444444467,233.95046638888903,0.6677580364251405,0.055414836624101,-0.00896,0.9373,0.05941218570468,0.00011103700537489999,0.519701629902,0.121816459256,0.358481910842,2019-03-29,10:00:00
